sequence,segment,representation_id,encoder_target_kbps,bitrate_kbps,duration_s,size_bytes,psnr_y_db,source_file,sha256
tears_of_steel,17,L0,1000,894,1,140548,45.506704,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0017.266,8e10f5dc46f9b112cac593f9c838ec76d8d887885a5a2c234bac01efaca2ab2e
tears_of_steel,17,L1,2000,1487,1,283592,46.644299,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0017.266,797d74de9c9f2be1062d1e5c06b0a575cb50f2faacd28b29d3a0538ec575688d
tears_of_steel,17,L2,4000,2327,1,492581,47.492338,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0017.266,a178188b9ff0f2fc4e3da3b4b10a477d49b55f31855a56cf2902769d0122f0ef
tears_of_steel,17,L3,8000,3593,1,878342,48.558227,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0017.266,87abfb4dbddafc4115a4fab9b73a8de0a6cd64316ca4995542d560a32d0723a6
tears_of_steel,18,L0,1000,894,1,139446,45.703012,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0018.266,71f1dd1add22c0390052f54b99fdcfb6a9146cfb7b47ba85a55acf235ee3c4d4
tears_of_steel,18,L1,2000,1487,1,272442,46.700427,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0018.266,eb135fec92fd7c23965a4093bdf23949b9f2561accebe9eeefe87571d2c09b53
tears_of_steel,18,L2,4000,2327,1,490274,47.616134,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0018.266,c09b89471db4ed23116a530164359ea1d18fe7040a8865428f6debe0bf6164dc
tears_of_steel,18,L3,8000,3593,1,892469,48.680241,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0018.266,097cc56a2e695c7f9c6d6ba47d28a1803819b6be3c93babd04303cf028a6e786
tears_of_steel,19,L0,1000,894,1,102299,44.608648,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0019.266,912621f1a5d20e365a43e436d5f60f531d35ff6de9288297d6655d4155752723
tears_of_steel,19,L1,2000,1487,1,187125,45.788952,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0019.266,bd843b29dfb94b64cdd07eb3af642b072bbea3c9b3847f7d32cb9905fbb5b658
tears_of_steel,19,L2,4000,2327,1,293883,46.528731,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0019.266,b1c21fa94562fed40f52ed64e2c6672315304a5d0f72c7c33fc597d409a95e6f
tears_of_steel,19,L3,8000,3593,1,591868,47.736355,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0019.266,29300f592d4494a324bf734ed09342b854387ebffedc0c2e341c5f9b30062a2c
tears_of_steel,20,L0,1000,894,1,107755,44.602119,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0020.266,fe683b938c4d0008f020e7083dd499b34e146407e844108ea020328ee311854f
tears_of_steel,20,L1,2000,1487,1,173601,45.236368,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0020.266,190e9a8350c5bfb898359e3ed20412a035fa530a8f174f0f37e5e60c514179cb
tears_of_steel,20,L2,4000,2327,1,267483,45.739614,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0020.266,1001d4c70aaf9709c6abb757c0acf3d2cd1ecfdca4db3ca66ab7305854973fb8
tears_of_steel,20,L3,8000,3593,1,538523,46.371452,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0020.266,2b95f17bff13e889f9954d010fd32ad183c2783ed1e20179fb146b30c37a7d6d
tears_of_steel,21,L0,1000,894,1,107802,44.680838,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0021.266,6343ba3e70d10bc1f74e5ba09df66c8dd29b5c9507058212a4ebbd7de396b320
tears_of_steel,21,L1,2000,1487,1,180128,45.357989,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0021.266,ba3e1f28e80d739eeb46d65664270cbc6de9c8e5bf7a4bfa05d5f89e0fb8382e
tears_of_steel,21,L2,4000,2327,1,297381,45.833661,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0021.266,f3ae0aba5bf8e3384512318e252d4fb00eca038d29313ed0d441abe3fb395455
tears_of_steel,21,L3,8000,3593,1,592088,46.487792,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0021.266,af6b2f66d91992837b2b76f2f8a875f227f97d47f101af925c91595c9d31da06
tears_of_steel,22,L0,1000,894,1,110533,44.512644,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0022.266,435f4a1679e5700bc5f5e971bd035a7622cf87adb4ecfed45e7398912f1cfd13
tears_of_steel,22,L1,2000,1487,1,170888,45.105814,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0022.266,a9da3a0a967b6f6f33031714a4844b6bb21486fc299df6329ad7127cd8a5b12b
tears_of_steel,22,L2,4000,2327,1,272282,45.638292,../encoded/full/tears_of_steel/bitrate_004000kbps/segment_0022.266,d73983ae6dc8f81af718c813fc0dec6c155cd946ad8abcb56d8f234bd4a89a1e
tears_of_steel,22,L3,8000,3593,1,424571,46.063319,../encoded/full/tears_of_steel/bitrate_008000kbps/segment_0022.266,d6b4400159f45bee79417d08316fd6ec879b450edd46fbaf4ca4fc85f1904fce
tears_of_steel,23,L0,1000,894,1,114232,44.108420,../encoded/full/tears_of_steel/bitrate_001000kbps/segment_0023.266,58cfb8d4281c687e8751fd3e19750f0315f9cbffe10b65e74107e4934f2402bc
tears_of_steel,23,L1,2000,1487,1,176802,45.085688,../encoded/full/tears_of_steel/bitrate_002000kbps/segment_0023.266,80bef1d2475b15053a5b3937548f549b4c323d19b268ac15d0289eae48ff5281
