scope,content,trace,baseline,metric,better_when,delta_definition,n,mean,std,ci95_half_width,ci95_low,ci95_high,ci95_excludes_zero
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,buffer_mean_s,descriptive,q-learning_minus_static,10,2.503826093174163,1.0781925914996064,0.7712389309426577,1.7325871622315054,3.275065024116821,True
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,buffer_std_s,lower,q-learning_minus_static,10,0.6785125140471818,0.5873876634914861,0.42016262883980743,0.2583498852073744,1.0986751428869892,True
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,mean_objective_reward,higher,q-learning_minus_static,10,0.0784846914495982,0.08504187322002879,0.060831064788113016,0.017653626661485185,0.13931575623771122,True
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,mean_quality_utility,higher,q-learning_minus_static,10,-0.03466343419138028,0.08504054173851242,0.06083011236978872,-0.095493546561169,0.02616667817840844,False
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,mean_psnr_y_db,higher,q-learning_minus_static,10,0.023847224999997963,0.33810394607800115,0.24184818925347507,-0.2180009642534771,0.26569541425347304,False
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,switch_count,lower,q-learning_minus_static,10,21.0,3.3665016461206925,2.4080828889388335,18.591917111061168,23.408082888938832,True
per_content_trace,elephants_dream,stage56_evaluation_high_start,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,-24.333333333333336,10.067672257843817,7.201478521032253,-31.53481185436559,-17.131854812301082,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_per_seed,elephants_dream,all_evaluation_traces,static,rebuffering_s,lower,q-learning_minus_static,10,-1.4761017040627826,0.17139466364317618,0.1225998380990432,-1.5987015421618258,-1.3535018659637394,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,-2.4601695067713045,0.2856577727386271,0.2043330634984054,-2.66450257026971,-2.2558364432728992,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,average_bitrate_kbps,higher,q-learning_minus_static,10,-627.2027777777778,185.4910469158543,132.68308264281933,-759.885860420597,-494.51969513495845,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,-413.0482133333333,113.79497580169588,81.39836628062896,-494.4465796139623,-331.64984705270433,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,buffer_mean_s,descriptive,q-learning_minus_static,10,1.2735575734195355,0.5226046633612408,0.37382288197304675,0.8997346914464888,1.6473804553925822,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,buffer_std_s,lower,q-learning_minus_static,10,1.1604643039283329,0.2625281259428764,0.1877882604562835,0.9726760434720494,1.3482525643846164,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,mean_objective_reward,higher,q-learning_minus_static,10,0.12990360613462948,0.08908368015090574,0.06372219841398091,0.06618140772064857,0.1936258045486104,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,mean_quality_utility,higher,q-learning_minus_static,10,-0.10098118123715956,0.04244808582586284,0.030363421703136963,-0.1313446029402965,-0.07061775953402259,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,mean_psnr_y_db,higher,q-learning_minus_static,10,-0.3354673500000004,0.17512352631057457,0.12526712043794005,-0.46073447043794047,-0.21020022956206033,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,switch_count,lower,q-learning_minus_static,10,15.566666666666666,2.3256487213912256,1.663553290733757,13.903113375932909,17.230219957400422,True
per_content_per_seed,elephants_dream,all_evaluation_traces,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,-25.72222222222222,4.878847713021869,3.4898749296631477,-29.21209715188537,-22.232347292559073,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,rebuffering_s,lower,q-learning_minus_static,10,1.993133875528097,3.5880959673924253,2.566590903914966,-0.5734570283868692,4.559724779443063,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,3.3218897925468283,5.980159945654043,4.277651506524944,-0.955761713978116,7.599541299071772,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,average_bitrate_kbps,higher,q-learning_minus_static,10,119.64666666666668,134.95218650312898,96.532271569671,23.11439509699568,216.17893823633767,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,96.60930666666661,113.4764800223244,81.17054395433142,15.43876271233519,177.77985062099805,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,buffer_mean_s,descriptive,q-learning_minus_static,10,-1.0055884861379052,0.8364411741516936,0.5983123998764825,-1.6039008860143877,-0.40727608626142264,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,buffer_std_s,lower,q-learning_minus_static,10,-0.0703666488148766,0.05532311717902587,0.0395730244169303,-0.1099396732318069,-0.0307936243979463,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,mean_objective_reward,higher,q-learning_minus_static,10,-0.5594547887281618,0.7505332790548577,0.5368618633987035,-1.0963166521268652,-0.022592925329458335,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,mean_quality_utility,higher,q-learning_minus_static,10,0.0473097988082108,0.051109129869209936,0.03655872892514984,0.01075106988306096,0.08386852773336063,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,mean_psnr_y_db,higher,q-learning_minus_static,10,0.2567817799999972,0.2868169234861177,0.20516221238177204,0.05161956761822514,0.4619439923817692,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,switch_count,lower,q-learning_minus_static,10,9.9,7.809538327512638,5.586219046904623,4.313780953095377,15.486219046904623,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_low_start,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,rebuffering_s,lower,q-learning_minus_static,10,0.3268291385719664,0.7354329216345645,0.5260604689117676,-0.19923133033980123,0.852889607483734,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,rebuffering_rate_percent,lower,q-learning_minus_static,10,0.5447152309532772,1.2257215360576075,0.8767674481862792,-0.33205221723300193,1.4214826791395563,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,average_bitrate_kbps,higher,q-learning_minus_static,10,-1293.3966666666665,426.04321592944785,304.7517827327968,-1598.1484493994633,-988.6448839338698,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,average_payload_bitrate_kbps,higher,q-learning_minus_static,10,-1141.20812,443.1262525980914,316.9714019747119,-1458.1795219747119,-824.2367180252882,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,buffer_mean_s,descriptive,q-learning_minus_static,10,-0.6027527944362496,1.308601246869923,0.9360519026220342,-1.5388046970582838,0.33329910818578456,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,buffer_std_s,lower,q-learning_minus_static,10,1.5842503807639772,0.8496825789296849,0.60778407214141,0.9764663086225672,2.192034452905387,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,mean_objective_reward,higher,q-learning_minus_static,10,-0.4904290172147775,0.2175172256842463,0.15559163911987625,-0.6460206563346538,-0.3348373780949012,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,mean_quality_utility,higher,q-learning_minus_static,10,-0.1934317607883412,0.09317292998326866,0.06664726828918992,-0.2600790290775311,-0.1267844924991513,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,mean_psnr_y_db,higher,q-learning_minus_static,10,-1.3009550449999998,0.628048958789944,0.4492479464017746,-1.7502029914017745,-0.8517070985982251,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,switch_count,lower,q-learning_minus_static,10,21.9,2.8460498941515415,2.0358,19.864199999999997,23.9358,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_mixed_start,static,high_representation_fraction_percent,descriptive,q-learning_minus_static,10,-43.49999999999999,9.007884063898802,6.44340438829592,-49.94340438829591,-37.056595611704076,True
per_content_trace,sita_sings_the_blues,stage56_evaluation_high_start,static,startup_delay_s,lower,q-learning_minus_static,10,0.0,0.0,0.0,0.0,0.0,False
per_content_trace,sita_sings_the_blues,stage56_evaluation_high_start,static,rebuffering_s,lower,q-learning_minus_static,10,-2.2376608664432345,0.0,0.0,-2.2376608664432345,-2.2376608664432345,True
